Artikel,Customer,JmlhWrna,JnsCtk,JnsBhn,Tebal (mic),Lebar (mm)
DJARUM SUPER 12 EURO 2021                         ,,8,REVERSE,OPP,20.00,970.00
67930308 ROLL ROYCO SALTED EGG 22G MSPK NEW       ,,7,SURFACE,PET,12.00,1150.00
SWEETENED CONDENSED MILK TOPSAHO 30 GR AFRIKA     ,,7,REVERSE,PET-G,12.00,1170.00
ROLL SWTR DIABTX 1020MM 87146-1304-602            ,,6,REVERSE,PET,12.00,1045.00
14011708/23010968-STP SKL W&B 750ML HLL           ,,7,REVERSE,PET,12.00,1000.00
KTG SP 280 ALOEVERA PEACH NEW                     ,,7,REVERSE,NY-01,15.00,750.00
CAFFINO MOCCA 20GRX10 OUTERPOUCH E-KARIP NEW      ,,7,SURFACE,PET-G,12.00,1120.00
KUSUKA 60GR RASA BARBEQUE NEW                     ,,7,REVERSE,PET-G,12.00,1050.00
CAFFINO CHONUT 20GRX10 OUTERPOUCH E-KARIP NEW     ,,8,SURFACE,PET-G,12.00,1120.00
MARIMAS MANGGA 7GR MLT MAY'23                     ,,8,REVERSE,PET,12.00,935.00
CAFFINO CHONUT 20GR E-KARIP NEW                   ,,8,SURFACE,PET-G,12.00,1120.00
EDO PIZZA BASE 120G (ND2019-0313096)              ,,7,REVERSE,OPP - G,20.00,810.00
1FK004070 FOIL KOMIX JERUK NIPIS NEW              ,,8,REVERSE,PET-G,12.00,1130.00
68481222 WRP PADDLE POP CHOCO LAVA 55ML           ,,5,REVERSE,OPP - G,18.00,1120.00
AL.FOIL MAXTEA TARIKK 25G (L-8)                   ,,7,REVERSE,OPP MATTE,20.00,1170.00
44121230 PB MILO ACTIVGO 3IN1 10X35G              ,,7,REVERSE,OPP - G,20.00,990.00
CAFFINO CLASSIC 20GR E-KARIP NEW                  ,,8,SURFACE,PET-G,12.00,1120.00
ROLL SAUS SAMBAL CHILI CAS 6 UP ND 1500M          ,,4,REVERSE,PET,12.00,990.00
44121231 PB MILO ACTIVGO 3IN1 20X35G              ,,7,REVERSE,OPP,20.00,1070.00
CHOCOLATE CONDENSED MILK TOPSAHO 30 GR AFRIKA     ,,8,REVERSE,PET-G,12.00,1170.00
1FK002070 FOIL KOMIX RASA JAHE NEW                ,,7,REVERSE,PET-G,12.00,1130.00
BERAS MAKNYUSS 5 KG KEDIRI                        ,,8,REVERSE,NY-01,15.00,950.00
LADAKU 3GR 15/03/24 DRY-DRY MLT                   ,,8,SURFACE,PET-G,12.00,840.00
ROLL SWTR DIABTX 1004MM 87146-1303-603            ,,6,REVERSE,PET,12.00,1045.00
STD POUCH MCLEWIS THOUSAND ISLAND 1KG             ,,7,REVERSE,PET,12.00,1080.00
