NoJI,Mesin,Tanggal SUP,,
7460 0C,CERUTI.1                                          ,4/30/2021,,CERUTI.1
5743 1C,CERUTI.2                                          ,5/2/2021,,CERUTI.2
7430 0A,CERUTI.5                                          ,5/4/2021,,CERUTI.5
7468 1B,CERUTI.2                                          ,5/4/2021,,CERUTI.2
5360A 2F,CERUTI.1                                          ,5/4/2021,,CERUTI.1
1145A 7F,CERUTI.1                                          ,5/5/2021,,CERUTI.1
6368 1C,CERUTI.3                                          ,5/5/2021,,CERUTI.3
5293 2F,CERUTI.2                                          ,5/5/2021,,CERUTI.2
6367 1C,CERUTI.3                                          ,5/6/2021,,CERUTI.3
4990 10P,CERUTI.1                                          ,5/6/2021,,CERUTI.1
6366 2B,CERUTI.3                                          ,5/6/2021,,CERUTI.3
4285 2D,CERUTI.2                                          ,5/6/2021,,CERUTI.2
5311 4K,CERUTI.3                                          ,5/6/2021,,CERUTI.3
7294 0A,CERUTI.1                                          ,5/6/2021,,CERUTI.1
6588 0C,CERUTI.5                                          ,5/7/2021,,CERUTI.5
7512 0B,CERUTI.1                                          ,5/7/2021,,CERUTI.1
6364 1D,CERUTI.3                                          ,5/7/2021,,CERUTI.3
5225 2G,CERUTI.2                                          ,5/7/2021,,CERUTI.2
7513 0A,CERUTI.1                                          ,5/7/2021,,CERUTI.1
7431 0A,CERUTI.5                                          ,5/8/2021,,CERUTI.5
7467 1B,CERUTI.1                                          ,5/10/2021,,CERUTI.1
6762 1A,CERUTI.1                                          ,8/3/2021,,CERUTI.1
7489 0B,CERUTI.3                                          ,5/10/2021,,CERUTI.3
5475A 1B,CERUTI.1                                          ,5/19/2021,,CERUTI.1
7377A 0A,CERUTI.2                                          ,5/17/2021,,CERUTI.2
5862 3E,CERUTI.2                                          ,5/17/2021,,CERUTI.2
4421 0G,CERUTI.3                                          ,5/18/2021,,CERUTI.3
3698 8M,CERUTI.5                                          ,5/18/2021,,CERUTI.5
7469 0A,CERUTI.1                                          ,5/19/2021,,CERUTI.1
6288 2C,CERUTI.3                                          ,5/19/2021,,CERUTI.3
6424 1B,CERUTI.2                                          ,5/19/2021,,CERUTI.2
7595 0A,CERUTI.3                                          ,5/19/2021,,CERUTI.3
2847 8I,CERUTI.2                                          ,5/19/2021,,CERUTI.2
7476 0A,CERUTI.1                                          ,5/20/2021,,CERUTI.1
7323 1B,CERUTI.1                                          ,5/20/2021,,CERUTI.1
7408 0B,CERUTI.1                                          ,5/21/2021,,CERUTI.1
3635 3I,CERUTI.3                                          ,5/20/2021,,CERUTI.3
4970A 0C,CERUTI.2                                          ,5/21/2021,,CERUTI.2
3277A 7O,CERUTI.1                                          ,5/21/2021,,CERUTI.1
7134 0A,CERUTI.2                                          ,5/21/2021,,CERUTI.2
6710 0E,CERUTI.1                                          ,5/22/2021,,CERUTI.1
5430A 2C,CERUTI.1                                          ,5/23/2021,,CERUTI.1
6280 0G,CERUTI.2                                          ,5/22/2021,,CERUTI.2
7333 0A,CERUTI.2                                          ,5/22/2021,,CERUTI.2
7009 1B,CERUTI.2                                          ,5/23/2021,,CERUTI.2
7332 0A,CERUTI.2                                          ,5/23/2021,,CERUTI.2
